,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,男　Ｍ．,40,32,1,1,-,-,1,5,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-
,女　Ｆ．,54,49,-,-,-,-,2,3,-,9,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-
17400　　その他の先天奇形及び変形　　　　　　　　　　　　　　　　　　　　　　　,総数,592,484,15,7,1,-,15,62,9,118,115,-,-,-,-,-,2,1,5,3,-,-,-,-,-,1,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,128,123,-,-,-,-,-,3,2,6,5,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,12,11,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,7,4,-,-,-,-,-,3,-,11,7,-,-,-,-,1,3,-,5,3,-,-,-,-,-,1,1,13,10,-,-,-,-,-,3,-,8,5,-,-,-,-,-,1,2,31,24,1,-,-,-,1,5,-,21,16,-,-,-,-,1,4,-,24,19,-,-,-,-,2,3,-
,男　Ｍ．,288,239,7,2,-,-,5,31,4,56,55,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,59,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,6,4,-,-,-,-,-,2,-,4,2,-,-,-,-,-,1,1,5,4,-,-,-,-,-,1,-,4,3,-,-,-,-,-,-,1,19,14,1,-,-,-,1,3,-,12,8,-,-,-,-,1,3,-,10,9,-,-,-,-,-,1,-
,女　Ｆ．,304,245,8,5,1,-,10,31,5,62,60,-,-,-,-,-,1,1,3,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,68,64,-,-,-,-,-,2,2,2,1,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,5,3,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-,8,6,-,-,-,-,-,2,-,4,2,-,-,-,-,-,1,1,12,10,-,-,-,-,-,2,-,9,8,-,-,-,-,-,1,-,14,10,-,-,-,-,2,2,-
17500　　染色体異常，他に分類されないもの　　　　　　　　　　　　　　　　　　　,総数,418,327,5,7,5,-,28,43,8,113,105,-,-,-,-,-,8,-,22,18,-,-,-,-,-,4,-,7,7,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,8,7,-,-,-,-,-,1,-,158,144,-,-,-,-,-,14,-,16,15,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,5,4,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,7,7,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,16,10,-,-,-,-,1,4,1,32,28,-,1,1,-,1,2,-,52,32,1,1,-,-,9,7,2,43,26,1,2,1,-,6,5,3
,男　Ｍ．,190,143,2,5,4,-,17,18,5,46,42,-,-,-,-,-,4,-,8,7,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,60,55,-,-,-,-,-,5,-,6,5,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,4,3,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,1,1,18,16,-,1,1,-,1,-,-,25,14,1,-,-,-,7,2,1,21,12,-,2,1,-,2,3,2
,女　Ｆ．,228,184,3,2,1,-,11,25,3,67,63,-,-,-,-,-,4,-,14,11,-,-,-,-,-,3,-,6,6,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,98,89,-,-,-,-,-,9,-,10,10,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,11,7,-,-,-,-,1,3,-,14,12,-,-,-,-,-,2,-,27,18,-,1,-,-,2,5,1,22,14,1,-,-,-,4,2,1
18000　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの　　　　　,総数,247238,75746,3081,22558,5073,-,83362,56775,5716,181,106,-,-,-,-,-,72,3,23,17,-,-,-,-,-,5,1,10,9,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,220,136,-,-,-,-,-,80,4,13,9,-,-,-,-,-,4,-,11,6,-,-,-,-,-,4,1,37,18,-,-,-,-,-,14,5,83,28,-,-,-,-,-,32,23,101,23,-,-,-,-,-,57,21,114,29,-,-,-,-,-,59,26,218,55,-,-,-,-,-,137,26,394,85,1,-,-,-,-,260,48,656,150,1,-,-,-,1,442,62,1317,244,1,-,-,-,4,969,99,1899,311,-,-,-,-,10,1462,116,2483,389,9,5,-,-,37,1919,124
,男　Ｍ．,84668,28248,979,6050,1356,-,19630,27376,2385,104,61,-,-,-,-,-,42,1,15,12,-,-,-,-,-,2,1,6,5,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,80,-,-,-,-,-,45,2,8,5,-,-,-,-,-,3,-,8,4,-,-,-,-,-,4,-,22,10,-,-,-,-,-,9,3,53,18,-,-,-,-,-,17,18,63,12,-,-,-,-,-,35,16,89,19,-,-,-,-,-,48,22,148,36,-,-,-,-,-,92,20,305,68,-,-,-,-,-,196,41,509,99,-,-,-,-,-,359,51,1044,191,1,-,-,-,1,768,83,1589,235,-,-,-,-,8,1246,100,2041,286,7,3,-,-,26,1614,105
,女　Ｆ．,162570,47498,2102,16508,3717,-,63732,29399,3331,77,45,-,-,-,-,-,30,2,8,5,-,-,-,-,-,3,-,4,4,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,93,56,-,-,-,-,-,35,2,5,4,-,-,-,-,-,1,-,3,2,-,-,-,-,-,-,1,15,8,-,-,-,-,-,5,2,30,10,-,-,-,-,-,15,5,38,11,-,-,-,-,-,22,5,25,10,-,-,-,-,-,11,4,70,19,-,-,-,-,-,45,6,89,17,1,-,-,-,-,64,7,147,51,1,-,-,-,1,83,11,273,53,-,-,-,-,3,201,16,310,76,-,-,-,-,2,216,16,442,103,2,2,-,-,11,305,19
18100　　老衰　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,206887,63851,2915,22143,4958,-,82122,32046,3810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,21,1,4,-,-,28,11,1
,男　Ｍ．,58793,21814,904,5927,1324,-,19198,9978,972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,12,-,3,-,-,20,3,1
,女　Ｆ．,148094,42037,2011,16216,3634,-,62924,22068,2838,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,9,1,1,-,-,8,8,-
18200　　乳幼児突然死症候群　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,58,36,-,-,-,-,-,20,2,55,33,-,-,-,-,-,20,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58,36,-,-,-,-,-,20,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,37,27,-,-,-,-,-,9,1,34,24,-,-,-,-,-,9,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,27,-,-,-,-,-,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,21,9,-,-,-,-,-,11,1,21,9,-,-,-,-,-,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,9,-,-,-,-,-,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18300　　その他の症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,総数,40293,11859,166,415,115,-,1240,24709,1904,126,73,-,-,-,-,-,52,1,20,14,-,-,-,-,-,5,1,10,9,-,-,-,-,-,1,-,4,2,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,162,100,-,-,-,-,-,60,2,13,9,-,-,-,-,-,4,-,11,6,-,-,-,-,-,4,1,37,18,-,-,-,-,-,14,5,83,28,-,-,-,-,-,32,23,101,23,-,-,-,-,-,57,21,114,29,-,-,-,-,-,59,26,218,55,-,-,-,-,-,137,26,394,85,1,-,-,-,-,260,48,656,150,1,-,-,-,1,442,62,1317,244,1,-,-,-,4,969,99,1899,311,-,-,-,-,10,1462,116,2417,368,8,1,-,-,9,1908,123
,男　Ｍ．,25838,6407,75,123,32,-,432,17389,1412,70,37,-,-,-,-,-,33,-,12,9,-,-,-,-,-,2,1,6,5,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,53,-,-,-,-,-,36,1,8,5,-,-,-,-,-,3,-,8,4,-,-,-,-,-,4,-,22,10,-,-,-,-,-,9,3,53,18,-,-,-,-,-,17,18,63,12,-,-,-,-,-,35,16,89,19,-,-,-,-,-,48,22,148,36,-,-,-,-,-,92,20,305,68,-,-,-,-,-,196,41,509,99,-,-,-,-,-,359,51,1044,191,1,-,-,-,1,768,83,1589,235,-,-,-,-,8,1246,100,2002,274,7,-,-,-,6,1611,104
,女　Ｆ．,14455,5452,91,292,83,-,808,7320,492,56,36,-,-,-,-,-,19,1,8,5,-,-,-,-,-,3,-,4,4,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,-,2,2,-,-,-,-,-,-,-,72,47,-,-,-,-,-,24,1,5,4,-,-,-,-,-,1,-,3,2,-,-,-,-,-,-,1,15,8,-,-,-,-,-,5,2,30,10,-,-,-,-,-,15,5,38,11,-,-,-,-,-,22,5,25,10,-,-,-,-,-,11,4,70,19,-,-,-,-,-,45,6,89,17,1,-,-,-,-,64,7,147,51,1,-,-,-,1,83,11,273,53,-,-,-,-,3,201,16,310,76,-,-,-,-,2,216,16,415,94,1,1,-,-,3,297,19
20000　傷病及び死亡の外因　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,74680,42175,417,1334,472,-,2252,19051,9451,84,44,-,-,-,-,-,31,9,25,18,-,-,-,-,-,6,1,25,19,-,-,-,-,-,4,2,10,5,-,-,-,-,-,1,4,17,12,-,-,-,-,-,3,2,161,98,-,-,-,-,-,45,18,73,52,-,-,-,-,-,7,14,210,137,-,-,-,-,-,41,32,847,399,1,-,-,-,-,218,229,1574,531,2,-,-,-,-,542,499,1481,461,3,-,-,-,-,528,489,1390,390,3,-,-,-,-,515,482,1588,488,-,-,-,-,-,570,530,1941,636,6,-,-,-,-,686,613,2440,849,3,-,-,-,-,862,726,3094,1167,6,1,1,-,2,1102,816,3109,1335,10,1,-,-,2,1107,654,3076,1387,5,3,3,-,11,1068,602
,男　Ｍ．,44786,24810,218,512,214,-,861,11351,7034,39,21,-,-,-,-,-,14,4,14,12,-,-,-,-,-,1,1,14,10,-,-,-,-,-,4,-,2,1,-,-,-,-,-,-,1,11,8,-,-,-,-,-,2,1,80,52,-,-,-,-,-,21,7,49,38,-,-,-,-,-,3,8,109,76,-,-,-,-,-,21,12,455,231,-,-,-,-,-,100,124,1005,327,2,-,-,-,-,325,351,951,290,2,-,-,-,-,314,345,981,230,3,-,-,-,-,362,386,1152,323,-,-,-,-,-,407,422,1447,434,5,-,-,-,-,498,510,1788,577,2,-,-,-,-,619,590,2220,793,6,-,-,-,1,768,652,2284,967,8,1,-,-,2,776,530,2244,977,4,2,2,-,8,771,482
,女　Ｆ．,29894,17365,199,822,258,-,1391,7700,2417,45,23,-,-,-,-,-,17,5,11,6,-,-,-,-,-,5,-,11,9,-,-,-,-,-,-,2,8,4,-,-,-,-,-,1,3,6,4,-,-,-,-,-,1,1,81,46,-,-,-,-,-,24,11,24,14,-,-,-,-,-,4,6,101,61,-,-,-,-,-,20,20,392,168,1,-,-,-,-,118,105,569,204,-,-,-,-,-,217,148,530,171,1,-,-,-,-,214,144,409,160,-,-,-,-,-,153,96,436,165,-,-,-,-,-,163,108,494,202,1,-,-,-,-,188,103,652,272,1,-,-,-,-,243,136,874,374,-,1,1,-,1,334,164,825,368,2,-,-,-,-,331,124,832,410,1,1,1,-,3,297,120
20100　　不慮の事故　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,45743,31414,294,679,229,-,1358,9194,2804,51,29,-,-,-,-,-,19,3,16,14,-,-,-,-,-,2,-,18,15,-,-,-,-,-,1,2,8,5,-,-,-,-,-,1,2,7,6,-,-,-,-,-,-,1,100,69,-,-,-,-,-,23,8,46,37,-,-,-,-,-,2,7,51,36,-,-,-,-,-,10,5,167,127,1,-,-,-,-,10,29,242,175,-,-,-,-,-,24,43,248,151,2,-,-,-,-,39,56,179,107,1,-,-,-,-,27,44,273,162,-,-,-,-,-,41,70,376,214,2,-,-,-,-,73,87,524,305,1,-,-,-,-,117,101,836,520,1,1,1,-,2,173,139,1073,688,6,-,-,-,1,243,135,1330,781,3,2,2,-,8,350,186
,男　Ｍ．,25985,18203,145,268,105,-,491,4857,2021,22,14,-,-,-,-,-,7,1,9,9,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,46,36,-,-,-,-,-,8,2,33,27,-,-,-,-,-,1,5,36,26,-,-,-,-,-,7,3,125,100,-,-,-,-,-,3,22,170,125,-,-,-,-,-,12,33,178,117,1,-,-,-,-,19,41,126,75,1,-,-,-,-,15,35,204,121,-,-,-,-,-,27,56,289,170,2,-,-,-,-,48,69,398,234,-,-,-,-,-,77,87,638,394,1,-,-,-,1,123,119,822,532,5,-,-,-,1,167,117,996,590,3,1,1,-,6,242,154
,女　Ｆ．,19758,13211,149,411,124,-,867,4337,783,29,15,-,-,-,-,-,12,2,7,5,-,-,-,-,-,2,-,8,6,-,-,-,-,-,-,2,6,4,-,-,-,-,-,1,1,4,3,-,-,-,-,-,-,1,54,33,-,-,-,-,-,15,6,13,10,-,-,-,-,-,1,2,15,10,-,-,-,-,-,3,2,42,27,1,-,-,-,-,7,7,72,50,-,-,-,-,-,12,10,70,34,1,-,-,-,-,20,15,53,32,-,-,-,-,-,12,9,69,41,-,-,-,-,-,14,14,87,44,-,-,-,-,-,25,18,126,71,1,-,-,-,-,40,14,198,126,-,1,1,-,1,50,20,251,156,1,-,-,-,-,76,18,334,191,-,1,1,-,2,108,32
20101　　　交通事故　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3511,2920,8,1,1,-,4,21,557,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,8,7,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,19,16,-,-,-,-,-,-,3,20,17,-,-,-,-,-,-,3,7,6,-,-,-,-,-,-,1,97,83,-,-,-,-,-,-,14,125,108,-,-,-,-,-,-,17,101,77,-,-,-,-,-,-,24,65,52,1,-,-,-,-,-,12,93,71,-,-,-,-,-,1,21,113,79,2,-,-,-,-,1,31,147,115,-,-,-,-,-,1,31,188,156,-,-,-,-,-,-,32,241,194,1,-,-,-,-,-,46,192,159,-,-,-,-,-,-,33
,男　Ｍ．,2395,1940,8,1,1,-,4,16,426,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,14,13,-,-,-,-,-,-,1,6,5,-,-,-,-,-,-,1,84,73,-,-,-,-,-,-,11,96,83,-,-,-,-,-,-,13,82,66,-,-,-,-,-,-,16,49,37,1,-,-,-,-,-,11,78,61,-,-,-,-,-,-,17,99,69,2,-,-,-,-,-,28,122,95,-,-,-,-,-,1,26,157,129,-,-,-,-,-,-,28,200,158,1,-,-,-,-,-,41,154,126,-,-,-,-,-,-,28
,女　Ｆ．,1116,980,-,-,-,-,-,5,131,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,1,2,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,13,10,-,-,-,-,-,-,3,6,4,-,-,-,-,-,-,2,1,1,-,-,-,-,-,-,-,13,10,-,-,-,-,-,-,3,29,25,-,-,-,-,-,-,4,19,11,-,-,-,-,-,-,8,16,15,-,-,-,-,-,-,1,15,10,-,-,-,-,-,1,4,14,10,-,-,-,-,-,1,3,25,20,-,-,-,-,-,-,5,31,27,-,-,-,-,-,-,4,41,36,-,-,-,-,-,-,5,38,33,-,-,-,-,-,-,5
20102　　　転倒・転落・墜落　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11935,9407,126,352,116,-,622,1021,407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,16,11,1,-,-,-,-,-,4,27,22,-,-,-,-,-,-,5,29,19,1,-,-,-,-,2,7,16,10,-,-,-,-,-,-,6,28,19,-,-,-,-,-,2,7,55,35,-,-,-,-,-,7,13,59,46,-,-,-,-,-,5,8,120,87,-,-,-,-,-,17,16,152,115,1,-,-,-,-,17,19,244,169,2,-,-,-,1,41,31
,男　Ｍ．,6082,5033,55,90,35,-,148,464,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,11,8,-,-,-,-,-,-,3,21,17,-,-,-,-,-,-,4,19,14,-,-,-,-,-,1,4,13,7,-,-,-,-,-,-,6,22,16,-,-,-,-,-,1,5,39,26,-,-,-,-,-,3,10,48,37,-,-,-,-,-,3,8,96,69,-,-,-,-,-,14,13,128,96,1,-,-,-,-,15,16,206,142,2,-,-,-,1,33,28
,女　Ｆ．,5853,4374,71,262,81,-,474,557,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,3,1,-,-,-,-,-,1,6,5,-,-,-,-,-,-,1,10,5,1,-,-,-,-,1,3,3,3,-,-,-,-,-,-,-,6,3,-,-,-,-,-,1,2,16,9,-,-,-,-,-,4,3,11,9,-,-,-,-,-,2,-,24,18,-,-,-,-,-,3,3,24,19,-,-,-,-,-,2,3,38,27,-,-,-,-,-,8,3
20103　　　不慮の溺死及び溺水　　　　　　　　　　　　　　　　　　　　　　　　　,総数,9905,4626,29,1,-,-,17,4484,748,-,-,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,9,7,-,-,-,-,-,1,1,12,9,-,-,-,-,-,2,1,24,19,-,-,-,-,-,4,1,21,14,-,-,-,-,-,2,5,22,8,-,-,-,-,-,5,9,26,9,-,-,-,-,-,6,11,14,5,-,-,-,-,-,3,6,37,13,-,-,-,-,-,9,15,39,23,-,-,-,-,-,8,8,60,23,-,-,-,-,-,18,19,102,41,1,-,-,-,-,29,31,130,47,-,-,-,-,-,62,21,237,68,1,-,-,-,-,121,47
,男　Ｍ．,5236,2436,13,1,-,-,10,2239,537,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,9,7,-,-,-,-,-,1,1,18,15,-,-,-,-,-,2,1,16,10,-,-,-,-,-,1,5,14,5,-,-,-,-,-,3,6,19,5,-,-,-,-,-,3,11,10,4,-,-,-,-,-,1,5,24,4,-,-,-,-,-,6,14,28,16,-,-,-,-,-,6,6,36,13,-,-,-,-,-,9,14,74,30,1,-,-,-,-,17,26,95,32,-,-,-,-,-,44,19,170,46,1,-,-,-,-,85,38
