令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,女　Ｆ．,45,36,4,1,1,-,2,1,1,51,42,-,1,-,-,3,4,1,69,57,1,2,2,-,3,6,-,77,54,2,2,-,-,5,13,1,93,71,1,4,1,-,8,8,1,83,53,3,5,-,-,12,9,1,33,22,2,4,-,-,5,-,-,6,3,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
17100　　神経系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2,1,-,-,-,-,1,-,-,2,1,-,-,-,-,-,-,1,3,3,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17200　　循環器系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,23,18,-,-,-,-,1,3,1,19,14,-,1,-,-,-,4,-,47,38,-,1,1,-,2,6,-,61,44,1,1,-,-,5,9,1,84,68,1,3,1,-,4,8,-,84,57,1,5,1,-,12,9,-,37,23,1,5,-,-,5,2,1,7,4,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,14,10,-,-,-,-,-,3,1,9,6,-,-,-,-,-,3,-,25,23,-,-,-,-,1,1,-,25,20,-,-,-,-,1,4,-,30,24,1,1,-,-,-,4,-,24,18,-,1,1,-,2,3,-,9,5,-,1,-,-,-,2,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,9,8,-,-,-,-,1,-,-,10,8,-,1,-,-,-,1,-,22,15,-,1,1,-,1,5,-,36,24,1,1,-,-,4,5,1,54,44,-,2,1,-,4,4,-,60,39,1,4,-,-,10,6,-,28,18,1,4,-,-,5,-,-,6,3,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
17201　　　心臓の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,18,14,-,-,-,-,1,2,1,15,11,-,1,-,-,-,3,-,34,27,-,1,1,-,2,4,-,36,23,1,1,-,-,3,7,1,39,32,-,1,-,-,1,5,-,31,19,-,4,-,-,3,5,-,8,5,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,10,7,-,-,-,-,-,2,1,7,5,-,-,-,-,-,2,-,19,17,-,-,-,-,1,1,-,13,9,-,-,-,-,1,3,-,15,11,-,1,-,-,-,3,-,11,9,-,-,-,-,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,8,7,-,-,-,-,1,-,-,8,6,-,1,-,-,-,1,-,15,10,-,1,1,-,1,3,-,23,14,1,1,-,-,2,4,1,24,21,-,-,-,-,1,2,-,20,10,-,4,-,-,3,3,-,7,5,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17202　　　その他の循環器系の先天奇形　　　　　　　　　　　　　　　　　　　　　,総数,5,4,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,13,11,-,-,-,-,-,2,-,25,21,-,-,-,-,2,2,-,45,36,1,2,1,-,3,3,-,53,38,1,1,1,-,9,4,-,29,18,1,5,-,-,3,1,1,7,4,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,4,3,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,12,11,-,-,-,-,-,1,-,15,13,1,-,-,-,-,1,-,13,9,-,1,1,-,2,1,-,8,5,-,1,-,-,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,5,-,-,-,-,-,2,-,13,10,-,-,-,-,2,1,-,30,23,-,2,1,-,3,2,-,40,29,1,-,-,-,7,3,-,21,13,1,4,-,-,3,-,-,6,3,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-
17300　　消化器系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6,6,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,16,12,1,1,-,-,1,1,-,10,8,-,-,-,-,2,-,-,4,2,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,8,5,1,1,-,-,1,-,-,5,5,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,5,5,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,5,3,-,-,-,-,2,-,-,3,2,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17400　　その他の先天奇形及び変形　　　　　　　　　　　　　　　　　　　　　　　,総数,28,21,2,-,-,-,-,5,-,55,48,2,-,-,-,1,4,-,75,64,3,2,1,-,3,3,-,61,46,2,1,-,-,1,10,1,52,37,2,2,-,-,3,7,1,37,25,2,2,-,-,2,4,2,6,5,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,14,9,-,-,-,-,-,5,-,29,26,2,-,-,-,-,1,-,38,32,2,1,-,-,1,2,-,31,24,1,-,-,-,1,4,1,18,13,1,-,-,-,1,3,-,17,13,-,1,-,-,-,2,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,14,12,2,-,-,-,-,-,-,26,22,-,-,-,-,1,3,-,37,32,1,1,1,-,2,1,-,30,22,1,1,-,-,-,6,-,34,24,1,2,-,-,2,4,1,20,12,2,1,-,-,2,2,1,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17500　　染色体異常，他に分類されないもの　　　　　　　　　　　　　　　　　　　,総数,37,22,2,2,2,-,7,2,2,19,14,1,1,1,-,3,-,-,1,1,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,21,12,-,1,1,-,6,1,1,8,5,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,16,10,2,1,1,-,1,1,1,11,9,-,-,-,-,2,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18000　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの　　　　　,総数,3861,669,7,28,3,-,152,2849,156,7156,1639,24,157,36,-,741,4340,255,11618,3460,95,493,124,-,2165,5111,294,24403,8591,256,1872,439,-,6766,6424,494,46740,16243,584,4288,990,-,16052,8752,821,70508,22943,1070,7147,1647,-,26606,11409,1333,55088,15822,770,6073,1331,-,22325,9013,1085,19989,4884,263,2495,503,-,8503,3428,416,329,12,-,-,-,-,-,10,307
,男　Ｍ．,3138,491,5,21,3,-,103,2379,139,5287,1082,19,94,21,-,443,3438,211,7208,2009,58,266,60,-,1110,3568,197,11994,4447,126,841,192,-,2689,3632,259,17943,7131,226,1577,357,-,4830,3885,294,20188,7760,340,1945,453,-,6114,3686,343,10389,3593,162,1037,208,-,3486,1902,209,2270,661,35,266,62,-,820,444,44,245,11,-,-,-,-,-,6,228
,女　Ｆ．,723,178,2,7,-,-,49,470,17,1869,557,5,63,15,-,298,902,44,4410,1451,37,227,64,-,1055,1543,97,12409,4144,130,1031,247,-,4077,2792,235,28797,9112,358,2711,633,-,11222,4867,527,50320,15183,730,5202,1194,-,20492,7723,990,44699,12229,608,5036,1123,-,18839,7111,876,17719,4223,228,2229,441,-,7683,2984,372,84,1,-,-,-,-,-,4,79
18100　　老衰　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,325,111,3,24,2,-,131,44,12,1841,657,19,146,32,-,695,296,28,5485,1965,77,466,117,-,2065,835,77,18272,6549,239,1811,421,-,6607,2780,286,41011,13806,545,4189,955,-,15782,6005,684,66651,21028,1015,7041,1622,-,26303,10013,1251,53514,14960,756,5984,1310,-,22078,8675,1061,19720,4754,260,2478,499,-,8433,3386,409,2,-,-,-,-,-,-,1,1
,男　Ｍ．,222,75,3,17,2,-,87,29,11,1156,413,15,88,18,-,417,203,20,2983,1095,46,255,59,-,1052,491,44,8424,3299,118,816,186,-,2610,1461,120,15149,5925,210,1544,345,-,4742,2507,221,18661,7019,320,1913,446,-,6019,3078,312,9938,3344,158,1026,206,-,3438,1773,199,2220,632,34,265,62,-,813,433,43,1,-,-,-,-,-,-,-,1
,女　Ｆ．,103,36,-,7,-,-,44,15,1,685,244,4,58,14,-,278,93,8,2502,870,31,211,58,-,1013,344,33,9848,3250,121,995,235,-,3997,1319,166,25862,7881,335,2645,610,-,11040,3498,463,47990,14009,695,5128,1176,-,20284,6935,939,43576,11616,598,4958,1104,-,18640,6902,862,17500,4122,226,2213,437,-,7620,2953,366,1,-,-,-,-,-,-,1,-
18200　　乳幼児突然死症候群　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18300　　その他の症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,総数,3536,558,4,4,1,-,21,2805,144,5315,982,5,11,4,-,46,4044,227,6133,1495,18,27,7,-,100,4276,217,6131,2042,17,61,18,-,159,3644,208,5729,2437,39,99,35,-,270,2747,137,3857,1915,55,106,25,-,303,1396,82,1574,862,14,89,21,-,247,338,24,269,130,3,17,4,-,70,42,7,327,12,-,-,-,-,-,9,306
,男　Ｍ．,2916,416,2,4,1,-,16,2350,128,4131,669,4,6,3,-,26,3235,191,4225,914,12,11,1,-,58,3077,153,3570,1148,8,25,6,-,79,2171,139,2794,1206,16,33,12,-,88,1378,73,1527,741,20,32,7,-,95,608,31,451,249,4,11,2,-,48,129,10,50,29,1,1,-,-,7,11,1,244,11,-,-,-,-,-,6,227
,女　Ｆ．,620,142,2,-,-,-,5,455,16,1184,313,1,5,1,-,20,809,36,1908,581,6,16,6,-,42,1199,64,2561,894,9,36,12,-,80,1473,69,2935,1231,23,66,23,-,182,1369,64,2330,1174,35,74,18,-,208,788,51,1123,613,10,78,19,-,199,209,14,219,101,2,16,4,-,63,31,6,83,1,-,-,-,-,-,3,79
20000　傷病及び死亡の外因　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3522,1819,14,10,6,-,23,1095,561,5774,3157,24,35,14,-,90,1754,714,8152,4915,31,77,34,-,127,2161,841,10646,6841,66,176,71,-,292,2531,740,11415,7862,91,281,114,-,436,2245,500,9191,6426,95,384,118,-,676,1376,234,4072,2752,40,271,92,-,449,500,60,827,460,17,95,19,-,144,98,13,97,13,-,-,-,-,-,-,84
,男　Ｍ．,2520,1272,8,8,5,-,18,774,440,3936,2105,13,30,12,-,67,1177,544,5374,3260,19,57,27,-,91,1340,607,6268,4196,40,91,42,-,182,1263,496,6269,4531,51,138,60,-,177,1062,310,4123,3055,40,112,40,-,221,567,128,1305,976,12,61,24,-,70,165,21,149,89,3,12,2,-,24,18,3,77,11,-,-,-,-,-,-,66
,女　Ｆ．,1002,547,6,2,1,-,5,321,121,1838,1052,11,5,2,-,23,577,170,2778,1655,12,20,7,-,36,821,234,4378,2645,26,85,29,-,110,1268,244,5146,3331,40,143,54,-,259,1183,190,5068,3371,55,272,78,-,455,809,106,2767,1776,28,210,68,-,379,335,39,678,371,14,83,17,-,120,80,10,20,2,-,-,-,-,-,-,18
20100　　不慮の事故　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1899,1178,9,4,2,-,11,494,203,3675,2239,15,16,2,-,43,1060,302,5811,3831,20,34,12,-,66,1442,418,8121,5584,44,76,34,-,165,1846,406,9181,6686,69,145,54,-,264,1696,321,7536,5615,72,198,58,-,406,1080,165,3406,2495,35,153,51,-,294,381,48,644,410,13,50,13,-,98,63,10,25,4,-,-,-,-,-,-,21
,男　Ｍ．,1356,826,4,3,2,-,8,346,169,2486,1491,9,13,2,-,32,713,228,3733,2498,11,25,9,-,45,853,301,4684,3384,28,41,22,-,91,871,269,5003,3827,38,76,29,-,110,758,194,3410,2664,29,65,22,-,135,429,88,1110,878,10,37,16,-,43,127,15,126,84,3,7,2,-,19,11,2,16,4,-,-,-,-,-,-,12
,女　Ｆ．,543,352,5,1,-,-,3,148,34,1189,748,6,3,-,-,11,347,74,2078,1333,9,9,3,-,21,589,117,3437,2200,16,35,12,-,74,975,137,4178,2859,31,69,25,-,154,938,127,4126,2951,43,133,36,-,271,651,77,2296,1617,25,116,35,-,251,254,33,518,326,10,43,11,-,79,52,8,9,-,-,-,-,-,-,-,9
20101　　　交通事故　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,240,197,1,-,-,-,-,2,40,350,279,-,-,-,-,-,3,68,450,387,1,-,-,-,-,3,59,499,431,1,1,1,-,3,2,61,363,312,1,-,-,-,1,3,46,171,152,-,-,-,-,-,4,15,25,24,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,179,140,1,-,-,-,-,2,36,229,175,-,-,-,-,-,3,51,266,226,1,-,-,-,-,3,36,280,231,1,1,1,-,3,2,42,187,153,1,-,-,-,1,2,30,95,83,-,-,-,-,-,2,10,10,9,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,61,57,-,-,-,-,-,-,4,121,104,-,-,-,-,-,-,17,184,161,-,-,-,-,-,-,23,219,200,-,-,-,-,-,-,19,176,159,-,-,-,-,-,1,16,76,69,-,-,-,-,-,2,5,15,15,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20102　　　転倒・転落・墜落　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,249,197,2,-,-,-,1,26,23,496,381,1,1,-,-,2,69,42,1030,861,3,5,2,-,11,98,52,1662,1350,15,27,14,-,45,165,60,2605,2182,33,65,29,-,91,189,45,2987,2386,39,115,30,-,206,199,42,1733,1257,20,105,34,-,186,145,20,413,247,8,34,7,-,79,39,6,3,2,-,-,-,-,-,-,1
,男　Ｍ．,202,153,1,-,-,-,1,24,23,392,301,1,1,-,-,1,54,34,730,608,2,4,1,-,9,67,40,992,827,10,9,5,-,19,81,46,1405,1225,16,25,13,-,32,77,30,1213,1041,13,32,9,-,51,58,18,469,395,7,15,6,-,20,30,2,68,44,2,4,1,-,14,3,1,3,2,-,-,-,-,-,-,1
,女　Ｆ．,47,44,1,-,-,-,-,2,-,104,80,-,-,-,-,1,15,8,300,253,1,1,1,-,2,31,12,670,523,5,18,9,-,26,84,14,1200,957,17,40,16,-,59,112,15,1774,1345,26,83,21,-,155,141,24,1264,862,13,90,28,-,166,115,18,345,203,6,30,6,-,65,36,5,-,-,-,-,-,-,-,-,-
20103　　　不慮の溺死及び溺水　　　　　　　　　　　　　　　　　　　　　　　　　,総数,511,233,2,-,-,-,-,209,67,1112,461,6,-,-,-,2,550,93,1790,853,5,1,-,-,1,786,144,2400,1166,6,-,-,-,4,1096,128,2031,977,4,-,-,-,3,955,92,1077,518,4,-,-,-,5,512,38,239,127,-,-,-,-,2,103,7,8,5,-,-,-,-,-,3,-,4,-,-,-,-,-,-,-,4
,男　Ｍ．,332,146,-,-,-,-,-,133,53,675,255,3,-,-,-,2,347,68,999,473,2,1,-,-,1,421,101,1171,599,3,-,-,-,2,483,84,956,486,2,-,-,-,1,410,57,487,237,1,-,-,-,3,223,23,95,48,-,-,-,-,1,43,3,2,1,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,2
,女　Ｆ．,179,87,2,-,-,-,-,76,14,437,206,3,-,-,-,-,203,25,791,380,3,-,-,-,-,365,43,1229,567,3,-,-,-,2,613,44,1075,491,2,-,-,-,2,545,35,590,281,3,-,-,-,2,289,15,144,79,-,-,-,-,1,60,4,6,4,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,2
20104　　　不慮の窒息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,310,242,2,3,1,-,6,49,8,605,490,1,8,1,-,23,72,11,964,825,4,11,3,-,30,82,12,1438,1235,16,21,4,-,58,99,9,1762,1494,16,31,5,-,101,105,15,1486,1238,13,38,6,-,106,79,12,678,545,8,23,8,-,57,42,3,119,86,3,9,3,-,12,8,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,201,155,2,2,1,-,3,34,5,377,298,1,5,1,-,18,45,10,590,509,1,7,2,-,14,52,7,832,722,10,12,3,-,28,54,6,904,774,9,16,2,-,37,59,9,584,496,6,12,1,-,34,32,4,192,156,1,8,4,-,10,16,1,21,15,1,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,109,87,-,1,-,-,3,15,3,228,192,-,3,-,-,5,27,1,374,316,3,4,1,-,16,30,5,606,513,6,9,1,-,30,45,3,858,720,7,15,3,-,64,46,6,902,742,7,26,5,-,72,47,8,486,389,7,15,4,-,47,26,2,98,71,2,8,3,-,10,6,1,-,-,-,-,-,-,-,-,-
20105　　　煙，火及び火炎への曝露　　　　　　　　　　　　　　　　　　　　　　　,総数,77,24,1,-,-,-,-,46,6,117,46,-,-,-,-,-,64,7,143,48,-,-,-,-,-,87,8,173,74,-,1,1,-,1,85,12,160,67,1,1,-,-,-,78,13,96,45,1,-,-,-,-,44,6,31,10,-,1,-,-,-,19,1,3,2,-,-,-,-,-,1,-,6,1,-,-,-,-,-,-,5
,男　Ｍ．,57,21,-,-,-,-,-,32,4,73,29,-,-,-,-,-,41,3,96,32,-,-,-,-,-,58,6,109,45,-,1,1,-,1,56,6,92,40,1,-,-,-,-,40,11,47,26,1,-,-,-,-,17,3,14,6,-,-,-,-,-,7,1,1,-,-,-,-,-,-,1,-,3,1,-,-,-,-,-,-,2
,女　Ｆ．,20,3,1,-,-,-,-,14,2,44,17,-,-,-,-,-,23,4,47,16,-,-,-,-,-,29,2,64,29,-,-,-,-,-,29,6,68,27,-,1,-,-,-,38,2,49,19,-,-,-,-,-,27,3,17,4,-,1,-,-,-,12,-,2,2,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,3
20106　　　有害物質による不慮の中毒及び有害物質への曝露　　　　　　　　　　　　,総数,27,8,1,-,-,-,-,13,5,30,11,-,-,-,-,-,14,5,24,19,1,-,-,-,-,4,-,32,20,-,-,-,-,2,10,-,22,19,-,-,-,-,-,3,-,15,9,-,1,1,-,-,5,-,1,-,-,-,-,-,1,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,19,6,-,-,-,-,-,8,5,24,8,-,-,-,-,-,11,5,19,17,-,-,-,-,-,2,-,19,12,-,-,-,-,1,6,-,14,12,-,-,-,-,-,2,-,6,3,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,8,2,1,-,-,-,-,5,-,6,3,-,-,-,-,-,3,-,5,2,1,-,-,-,-,2,-,13,8,-,-,-,-,1,4,-,8,7,-,-,-,-,-,1,-,9,6,-,1,1,-,-,2,-,1,-,-,-,-,-,1,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20107　　　その他の不慮の事故　　　　　　　　　　　　　　　　　　　　　　　　　,総数,485,277,-,1,1,-,4,149,54,965,571,7,7,1,-,16,288,76,1410,838,6,17,7,-,24,382,143,1917,1308,6,26,14,-,52,389,136,2238,1635,14,48,20,-,68,363,110,1704,1267,15,44,21,-,89,237,52,699,532,7,24,9,-,48,71,17,93,62,2,7,3,-,7,12,3,12,1,-,-,-,-,-,-,11
,男　Ｍ．,366,205,-,1,1,-,4,113,43,716,425,4,7,1,-,11,212,57,1033,633,5,13,6,-,21,250,111,1281,948,4,18,12,-,37,189,85,1445,1137,9,35,14,-,39,168,57,978,778,8,21,12,-,47,94,30,330,264,2,14,6,-,12,30,8,32,22,-,2,1,-,3,4,1,8,1,-,-,-,-,-,-,7
,女　Ｆ．,119,72,-,-,-,-,-,36,11,249,146,3,-,-,-,5,76,19,377,205,1,4,1,-,3,132,32,636,360,2,8,2,-,15,200,51,793,498,5,13,6,-,29,195,53,726,489,7,23,9,-,42,143,22,369,268,5,10,3,-,36,41,9,61,40,2,5,2,-,4,8,2,4,-,-,-,-,-,-,-,4
20200　　自殺　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1106,345,2,-,-,-,1,497,261,1282,431,2,-,-,-,10,546,293,1291,435,3,1,-,-,8,568,276,1064,375,7,7,-,-,16,472,187,715,271,3,1,-,-,14,334,92,369,167,2,3,1,-,19,143,35,91,35,-,2,1,-,12,36,6,8,2,-,-,-,-,2,3,1,25,4,-,-,-,-,-,-,21
,男　Ｍ．,762,206,1,-,-,-,1,353,201,857,258,-,-,-,-,5,360,234,881,284,2,1,-,-,6,387,201,681,244,4,3,-,-,10,283,137,465,181,2,1,-,-,9,211,61,225,99,1,3,1,-,11,88,23,57,20,-,1,1,-,7,24,5,3,1,-,-,-,-,-,1,1,22,3,-,-,-,-,-,-,19
,女　Ｆ．,344,139,1,-,-,-,-,144,60,425,173,2,-,-,-,5,186,59,410,151,1,-,-,-,2,181,75,383,131,3,4,-,-,6,189,50,250,90,1,-,-,-,5,123,31,144,68,1,-,-,-,8,55,12,34,15,-,1,-,-,5,12,1,5,1,-,-,-,-,2,2,-,3,1,-,-,-,-,-,-,2
20300　　他殺　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,17,11,-,-,-,-,-,4,2,10,2,-,-,-,-,-,7,1,30,11,-,-,-,-,1,15,3,25,13,-,-,-,-,-,12,-,8,3,-,-,-,-,-,3,2,11,4,-,-,-,-,-,6,1,4,1,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,8,6,-,-,-,-,-,1,1,6,2,-,-,-,-,-,4,-,12,5,-,-,-,-,1,5,1,5,4,-,-,-,-,-,1,-,4,2,-,-,-,-,-,-,2,3,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,9,5,-,-,-,-,-,3,1,4,-,-,-,-,-,-,3,1,18,6,-,-,-,-,-,10,2,20,9,-,-,-,-,-,11,-,4,1,-,-,-,-,-,3,-,8,2,-,-,-,-,-,6,-,4,1,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20400　　その他の外因　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,500,285,3,6,4,-,11,100,95,807,485,7,19,12,-,37,141,118,1020,638,8,42,22,-,52,136,144,1436,869,15,93,37,-,111,201,147,1511,902,19,135,60,-,158,212,85,1275,640,21,183,59,-,251,147,33,571,221,5,116,40,-,143,80,6,174,47,4,45,6,-,44,32,2,47,5,-,-,-,-,-,-,42
,男　Ｍ．,394,234,3,5,3,-,9,74,69,587,354,4,17,10,-,30,100,82,748,473,6,31,18,-,39,95,104,898,564,8,47,20,-,81,108,90,797,521,11,61,31,-,58,93,53,485,290,10,44,17,-,75,50,16,138,78,2,23,7,-,20,14,1,20,4,-,5,-,-,5,6,-,39,4,-,-,-,-,-,-,35
,女　Ｆ．,106,51,-,1,1,-,2,26,26,220,131,3,2,2,-,7,41,36,272,165,2,11,4,-,13,41,40,538,305,7,46,17,-,30,93,57,714,381,8,74,29,-,100,119,32,790,350,11,139,42,-,176,97,17,433,143,3,93,33,-,123,66,5,154,43,4,40,6,-,39,26,2,8,1,-,-,-,-,-,-,7
